wbs_id,schedule_id,parent_wbs_id,code,name,level,created_at
WBS-001,SCH-001,,1,Greenfield Refinery Infrastructure Project,L1,2026-08-01T08:00:00Z
WBS-100,SCH-001,WBS-001,1.1,Engineering & Design,L2,2026-08-01T08:00:00Z
WBS-200,SCH-001,WBS-001,1.2,Procurement & Material Supply,L2,2026-08-01T08:00:00Z
WBS-300,SCH-001,WBS-001,1.3,Process Plant Main Units Construction,L2,2026-08-01T08:00:00Z
WBS-400,SCH-001,WBS-001,1.4,Utilities & Offsites Infrastructure,L2,2026-08-01T08:00:00Z
WBS-500,SCH-001,WBS-001,1.5,"Testing, Pre-Commissioning & Handover",L2,2026-08-01T08:00:00Z
WBS-110,SCH-001,WBS-100,1.1.1,Civil & Substructure Detailed Engineering,L3,2026-08-01T08:00:00Z
WBS-120,SCH-001,WBS-100,1.1.2,Piping & Layout Engineering,L3,2026-08-01T08:00:00Z
WBS-210,SCH-001,WBS-200,1.2.1,Heavy Equipment & Vessel Procurement,L3,2026-08-01T08:00:00Z
WBS-220,SCH-001,WBS-200,1.2.2,Piping Spool & Valve Procurement,L3,2026-08-01T08:00:00Z
WBS-310,SCH-001,WBS-300,1.3.1,Crude Distillation Unit (CDU-100),L3,2026-08-01T08:00:00Z
WBS-320,SCH-001,WBS-300,1.3.2,Diesel Hydrotreater Unit (DHT-200),L3,2026-08-01T08:00:00Z
WBS-330,SCH-001,WBS-300,1.3.3,Fluid Catalytic Cracker (FCC-300),L3,2026-08-01T08:00:00Z
WBS-410,SCH-001,WBS-400,1.4.1,Cooling Tower & Raw Water Treatment,L3,2026-08-01T08:00:00Z
WBS-420,SCH-001,WBS-400,1.4.2,Main Power Substation 33kV/11kV,L3,2026-08-01T08:00:00Z
WBS-430,SCH-001,WBS-400,1.4.3,Interconnecting Pipe Rack Network,L3,2026-08-01T08:00:00Z
WBS-311,SCH-001,WBS-310,1.3.1.1,CDU Civil & Foundational Substructure,L4,2026-08-01T08:00:00Z
WBS-312,SCH-001,WBS-310,1.3.1.2,CDU Main Structural Steelwork,L4,2026-08-01T08:00:00Z
WBS-313,SCH-001,WBS-310,1.3.1.3,CDU Static & Rotary Equipment Erection,L4,2026-08-01T08:00:00Z
WBS-314,SCH-001,WBS-310,1.3.1.4,CDU Process Piping Erection & NDT,L4,2026-08-01T08:00:00Z
WBS-315,SCH-001,WBS-310,1.3.1.5,CDU Power & Control Cabling,L4,2026-08-01T08:00:00Z
WBS-316,SCH-001,WBS-310,1.3.1.6,CDU Instrumentation & DCS Loop Checks,L4,2026-08-01T08:00:00Z
WBS-321,SCH-001,WBS-320,1.3.2.1,DHT Civil & Heavy Pedestal Works,L4,2026-08-01T08:00:00Z
WBS-322,SCH-001,WBS-320,1.3.2.2,DHT Structural Pipe Rack & Platforms,L4,2026-08-01T08:00:00Z
WBS-323,SCH-001,WBS-320,1.3.2.3,DHT Reactor & High-Pressure Pumps,L4,2026-08-01T08:00:00Z
WBS-324,SCH-001,WBS-320,1.3.2.4,DHT High Alloy Piping Package,L4,2026-08-01T08:00:00Z
WBS-325,SCH-001,WBS-320,1.3.2.5,DHT Substation Feed & Electrical Distribution,L4,2026-08-01T08:00:00Z
WBS-326,SCH-001,WBS-320,1.3.2.6,DHT Field Transmitters & Safety Systems,L4,2026-08-01T08:00:00Z
WBS-411,SCH-001,WBS-410,1.4.1.1,Cooling Tower Civil Basin & Foundations,L4,2026-08-01T08:00:00Z
WBS-412,SCH-001,WBS-410,1.4.1.2,Cooling Water Pumps & Mechanical Package,L4,2026-08-01T08:00:00Z
WBS-413,SCH-001,WBS-410,1.4.1.3,Utility Piping Distribution Network,L4,2026-08-01T08:00:00Z
WBS-421,SCH-001,WBS-420,1.4.2.1,Substation Building Civil & Superstructure,L4,2026-08-01T08:00:00Z
WBS-422,SCH-001,WBS-420,1.4.2.2,Transformers & Switchgear Installation,L4,2026-08-01T08:00:00Z
WBS-423,SCH-001,WBS-420,1.4.2.3,Cable Trench & Earth Grid Network,L4,2026-08-01T08:00:00Z
WBS-311-1,SCH-001,WBS-311,1.3.1.1.1,CDU Column C-101 Foundation Package,L5,2026-08-01T08:00:00Z
WBS-311-2,SCH-001,WBS-311,1.3.1.1.2,CDU Pump Bay Substructure Package,L5,2026-08-01T08:00:00Z
WBS-312-1,SCH-001,WBS-312,1.3.1.2.1,CDU Primary Pipe Rack PR-101 Structure,L5,2026-08-01T08:00:00Z
WBS-312-2,SCH-001,WBS-312,1.3.1.2.2,CDU Vessel Operating Platforms Package,L5,2026-08-01T08:00:00Z
WBS-313-1,SCH-001,WBS-313,1.3.1.3.1,CDU Column C-101 Heavy Lift Package,L5,2026-08-01T08:00:00Z
WBS-313-2,SCH-001,WBS-313,1.3.1.3.2,CDU Crude Charge Pump P-101 Package,L5,2026-08-01T08:00:00Z
WBS-314-1,SCH-001,WBS-314,1.3.1.4.1,CDU Overhead Vapor Piping Package,L5,2026-08-01T08:00:00Z
WBS-314-2,SCH-001,WBS-314,1.3.1.4.2,CDU Crude Feed Utility Piping Package,L5,2026-08-01T08:00:00Z
WBS-315-1,SCH-001,WBS-315,1.3.1.5.1,CDU Main Cable Tray Rack Package,L5,2026-08-01T08:00:00Z
WBS-315-2,SCH-001,WBS-315,1.3.1.5.2,CDU Motor Wiring & Earthing Package,L5,2026-08-01T08:00:00Z
WBS-316-1,SCH-001,WBS-316,1.3.1.6.1,CDU Transmitter Tubing Package,L5,2026-08-01T08:00:00Z
WBS-316-2,SCH-001,WBS-316,1.3.1.6.2,CDU DCS Field Termination Package,L5,2026-08-01T08:00:00Z
WBS-321-1,SCH-001,WBS-321,1.3.2.1.1,DHT Reactor R-201 Foundation Package,L5,2026-08-01T08:00:00Z
WBS-322-1,SCH-001,WBS-322,1.3.2.2.1,DHT Structure Steelwork Package,L5,2026-08-01T08:00:00Z
WBS-323-1,SCH-001,WBS-323,1.3.2.3.1,DHT Heavy Reactor Rigging Package,L5,2026-08-01T08:00:00Z
WBS-324-1,SCH-001,WBS-324,1.3.2.4.1,DHT High Pressure Alloy Piping Spools Package,L5,2026-08-01T08:00:00Z
WBS-325-1,SCH-001,WBS-325,1.3.2.5.1,DHT Substation Feeder Cabling Package,L5,2026-08-01T08:00:00Z
WBS-326-1,SCH-001,WBS-326,1.3.2.6.1,DHT Instrument Hookup & Loop Test Package,L5,2026-08-01T08:00:00Z
WBS-411-1,SCH-001,WBS-411,1.4.1.1.1,Cooling Basin Concrete Structure Package,L5,2026-08-01T08:00:00Z
WBS-412-1,SCH-001,WBS-412,1.4.1.2.1,Cooling Water Main Pump P-401 Package,L5,2026-08-01T08:00:00Z
WBS-413-1,SCH-001,WBS-413,1.4.1.3.1,Cooling Water Header Line Package,L5,2026-08-01T08:00:00Z
WBS-421-1,SCH-001,WBS-421,1.4.2.1.1,Substation Civil Building Shell Package,L5,2026-08-01T08:00:00Z
