activity_id,wbs_id,activity_code,name,level,discipline,planned_start,planned_finish,duration,status,created_at
ACT-001,WBS-311-1-1,CIV-001,Excavation and subgrade preparation for Crude Column C-101 foundation,L6,Civil,2026-08-01,2026-08-05,5,Completed,2026-08-01T08:00:00Z
ACT-002,WBS-311-1-2,CIV-002,PCC blinding layer pouring for Column C-101 base slab,L6,Civil,2026-08-06,2026-08-08,3,Completed,2026-08-01T08:00:00Z
ACT-003,WBS-311-1-2,CIV-003,Anchor bolt setting and template alignment for Column C-101,L6,Civil,2026-08-09,2026-08-12,4,Completed,2026-08-01T08:00:00Z
ACT-004,WBS-311-1-2,CIV-004,Reinforcement steel rebar cage assembly for Column C-101 pedestal,L6,Civil,2026-08-13,2026-08-18,6,Completed,2026-08-01T08:00:00Z
ACT-005,WBS-311-1-2,CIV-005,Formwork shuttering erection for Column C-101 pedestal foundation,L6,Civil,2026-08-19,2026-08-22,4,Completed,2026-08-01T08:00:00Z
ACT-006,WBS-311-1-2,CIV-006,Heavy concrete pouring for Column C-101 foundation slab F-101,L6,Civil,2026-08-23,2026-08-24,2,Completed,2026-08-01T08:00:00Z
ACT-007,WBS-311-1,CIV-007,Concrete curing and wet matting for Column C-101 foundation F-101,L5,Civil,2026-08-25,2026-08-31,7,In Progress,2026-08-01T08:00:00Z
ACT-008,WBS-311-2,CIV-008,Excavation for Crude Charge Pump P-101 A/B foundation pit,L5,Civil,2026-08-21,2026-08-26,6,In Progress,2026-08-01T08:00:00Z
ACT-009,WBS-311-2,CIV-009,PCC blinding and rebar binding for Pump P-101 foundation,L5,Civil,2026-08-27,2026-08-31,5,In Progress,2026-08-01T08:00:00Z
ACT-010,WBS-321-1,CIV-010,Mass excavation for Hydrotreater Reactor R-201 foundation pedestal,L5,Civil,2026-08-23,2026-08-30,8,In Progress,2026-08-01T08:00:00Z
ACT-011,WBS-321-1,CIV-011,Reinforcement steel cage fabrication for Reactor R-201 pedestal,L5,Civil,2026-08-31,2026-09-06,7,In Progress,2026-08-01T08:00:00Z
ACT-012,WBS-411-1,CIV-012,Cooling Tower basin concrete slab excavation and subgrade compaction,L5,Civil,2026-08-26,2026-09-04,10,In Progress,2026-08-01T08:00:00Z
ACT-013,WBS-311-2,CIV-013,Concrete pouring for Pump P-101 A/B foundation pedestal F-102,L5,Civil,2026-09-02,2026-09-04,3,Not Started,2026-08-01T08:00:00Z
ACT-014,WBS-311-2,CIV-014,Formwork stripping and grout preparation for Pump P-101 foundation,L5,Civil,2026-09-05,2026-09-08,4,Not Started,2026-08-01T08:00:00Z
ACT-015,WBS-321-1,CIV-015,Formwork setting and anchor bolt alignment for Reactor R-201 pedestal,L5,Civil,2026-09-07,2026-09-11,5,Not Started,2026-08-01T08:00:00Z
ACT-016,WBS-321-1,CIV-016,Concrete pouring for Hydrotreater Reactor R-201 pedestal foundation,L5,Civil,2026-09-12,2026-09-14,3,Not Started,2026-08-01T08:00:00Z
ACT-017,WBS-321-1,CIV-017,Substructure soil backfilling and compaction around Reactor R-201 base,L5,Civil,2026-09-15,2026-09-20,6,Not Started,2026-08-01T08:00:00Z
ACT-018,WBS-411-1,CIV-018,PCC blinding layer pouring for Cooling Tower basin slab,L5,Civil,2026-09-06,2026-09-09,4,Not Started,2026-08-01T08:00:00Z
ACT-019,WBS-411-1,CIV-019,Waterproof membrane installation and rebar matting for Cooling Basin,L5,Civil,2026-09-10,2026-09-17,8,Not Started,2026-08-01T08:00:00Z
ACT-020,WBS-411-1,CIV-020,Concrete wall shuttering and pouring for Cooling Tower water basin,L5,Civil,2026-09-18,2026-09-29,12,Not Started,2026-08-01T08:00:00Z
ACT-021,WBS-421-1,CIV-021,Substation 33kV building excavation and trenching,L5,Civil,2026-08-31,2026-09-06,7,Not Started,2026-08-01T08:00:00Z
ACT-022,WBS-421-1,CIV-022,Substation foundation RCC raft concrete pouring,L5,Civil,2026-09-07,2026-09-14,8,Not Started,2026-08-01T08:00:00Z
ACT-023,WBS-421-1,CIV-023,Substation masonry brickwork and concrete column casting,L5,Civil,2026-09-15,2026-09-29,15,Not Started,2026-08-01T08:00:00Z
ACT-024,WBS-421-1,CIV-024,Precast concrete cable trench placement around substation perimeter,L5,Civil,2026-09-30,2026-10-09,10,Not Started,2026-08-01T08:00:00Z
ACT-025,WBS-311-1,CIV-025,Non-shrink epoxy grouting under Column C-101 baseplate,L5,Civil,2026-09-20,2026-09-23,4,Not Started,2026-08-01T08:00:00Z
ACT-026,WBS-321-1,CIV-026,Non-shrink epoxy grouting under Hydrotreater Reactor R-201 baseplate,L5,Civil,2026-09-25,2026-09-28,4,Not Started,2026-08-01T08:00:00Z
ACT-027,WBS-312-1,STR-027,Primary Pipe Rack PR-101 baseplate levelling and anchor bolt verification,L5,Structural,2026-08-16,2026-08-19,4,Completed,2026-08-01T08:00:00Z
ACT-028,WBS-312-1,STR-028,Pipe Rack PR-101 steel column erection Grid A1 to A5,L5,Structural,2026-08-20,2026-08-25,6,Completed,2026-08-01T08:00:00Z
ACT-029,WBS-312-1,STR-029,Pipe Rack PR-101 transverse beam and longitudinal bracing erection,L5,Structural,2026-08-26,2026-09-02,8,In Progress,2026-08-01T08:00:00Z
ACT-030,WBS-312-1-1,STR-030,PR-101 high-strength structural bolt torquing and alignment check,L6,Structural,2026-08-29,2026-09-02,5,In Progress,2026-08-01T08:00:00Z
ACT-031,WBS-312-2,STR-031,Column C-101 lower operating platform steel framing erection,L5,Structural,2026-08-31,2026-09-06,7,In Progress,2026-08-01T08:00:00Z
ACT-032,WBS-322-1,STR-032,Hydrotreater Unit pipe rack structural steel column hoisting,L5,Structural,2026-09-02,2026-09-07,6,In Progress,2026-08-01T08:00:00Z
ACT-033,WBS-312-1,STR-033,Pipe Rack PR-101 tier 2 pipe support beam assembly,L5,Structural,2026-09-05,2026-09-11,7,Not Started,2026-08-01T08:00:00Z
ACT-034,WBS-312-1,STR-034,Pipe Rack PR-101 tier 3 cable tray support arm erection,L5,Structural,2026-09-12,2026-09-17,6,Not Started,2026-08-01T08:00:00Z
ACT-035,WBS-312-2,STR-035,Column C-101 middle maintenance platform steel structure erection,L5,Structural,2026-09-07,2026-09-12,6,Not Started,2026-08-01T08:00:00Z
ACT-036,WBS-312-2,STR-036,Column C-101 top condenser platform steel frame assembly,L5,Structural,2026-09-13,2026-09-18,6,Not Started,2026-08-01T08:00:00Z
ACT-037,WBS-312-2,STR-037,Structural steel stairway and safety cage ladder erection for C-101,L5,Structural,2026-09-19,2026-09-26,8,Not Started,2026-08-01T08:00:00Z
ACT-038,WBS-312-2,STR-038,Platform galvanized grating and checkered plate fitting for C-101,L5,Structural,2026-09-27,2026-10-01,5,Not Started,2026-08-01T08:00:00Z
